ID_x,knob_point_interpolation,knob_normal_interpolation,knob_nabla_unroll,knob_hessian_unroll,knob_branch,knob_nabla_sumtype,knob_hessian_sumtype,knob_shift_register,knob_flatten_loop,knob_use_wi,knob_pipe_depth,knob_compute_units,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12
../benchmarks/icp0,0,0,0,0,0,0,0,2,0,0,2,1,78,40,56,56,1.12993e-05,23717,595410,224,65,113.17,Y,0,icp0_timing.csv,515.865658228,0.0,611.956670886,45.7421139241,0.0,566.097721519,0.0,714.766455696,65.7203544304,648.970392405,1867.25835443,
../benchmarks/icp1,0,0,0,0,0,0,0,2,1,0,2,1,79,40,56,56,2.54235e-05,24376,622487,229,65,115.51,Y,1,icp1_timing.csv,450.157227848,0.0,626.65935443,47.0398734177,0.0,579.49964557,0.0,733.900075949,66.5535443038,667.268443038,1833.17936709,
../benchmarks/icp12,0,0,0,0,0,1,0,2,0,0,2,1,79,40,55,56,1.12993e-05,23576,595410,224,65,117.66,Y,12,icp12_timing.csv,447.293506329,0.0,620.662962025,46.762443038,0.0,573.783493671,0.0,726.481012658,66.9342151899,659.468265823,1817.25518987,
../benchmarks/icp13,0,0,0,0,0,1,0,2,1,0,2,1,80,41,55,56,2.54235e-05,24262,622999,229,65,114.81,Y,13,icp13_timing.csv,461.349379747,0.0,612.489303797,45.7205822785,0.0,566.652797468,0.0,719.432582278,66.3644556962,652.992405063,1816.14392405,
../benchmarks/icp24,0,0,0,0,0,2,0,2,0,0,2,1,79,40,55,56,1.12993e-05,25704,595662,231,65,112.46,Y,24,icp24_timing.csv,454.440772152,0.0,612.877253165,45.5610379747,0.0,567.200658228,0.0,715.436518987,65.0482151899,650.314126582,1805.89531646,
../benchmarks/icp25,0,0,0,0,0,2,0,2,1,0,2,1,80,41,55,56,2.54235e-05,26135,622739,235,65,116.21,Y,25,icp25_timing.csv,445.684341772,0.0,610.581683544,45.8793164557,0.0,564.587063291,0.0,719.047075949,66.9829873418,651.987,1797.97493671,
../benchmarks/icp26,0,0,0,0,0,2,0,4,0,0,2,1,84,43,56,56,1.12993e-05,29645,603602,231,65,114.56,Y,26,icp26_timing.csv,469.572240506,0.0,662.055367089,54.4326962025,0.0,607.507367089,0.0,880.376721519,67.5238860759,812.777063291,2034.8056962,
../benchmarks/icp27,0,0,0,0,0,2,0,4,1,0,2,1,84,43,56,56,2.54235e-05,29379,630679,235,65,115.15,Y,27,icp27_timing.csv,437.300151899,0.0,613.262949367,45.52,0.0,567.62756962,0.0,713.727063291,64.7657594937,648.888607595,1787.18696203,
../benchmarks/icp48,0,0,0,0,1,0,0,2,0,0,2,1,77,40,51,47,3.19268e-05,25274,590327,231,55,115.07,Y,48,icp48_timing.csv,446.017797468,0.0,613.669518987,45.5601772152,0.0,567.994253165,0.0,716.421911392,64.9455063291,651.401949367,1799.03050633,
../benchmarks/icp49,0,0,0,0,1,0,0,2,1,0,2,1,77,40,50,47,3.19268e-05,25754,615676,237,55,113.63,Y,49,icp49_timing.csv,443.723746835,0.0,613.475632911,46.0030759494,0.0,567.356696203,0.0,717.820746835,65.7443417722,652.002810127,1797.95607595,
../benchmarks/icp60,0,0,0,0,1,1,0,2,0,0,2,1,75,39,50,47,3.19268e-05,25504,589405,229,55,117.45,Y,60,icp60_timing.csv,418.677177215,0.0,621.951835443,47.0586455696,0.0,574.774063291,0.0,734.014658228,68.9521898734,664.98064557,1797.09227848,
../benchmarks/icp61,0,0,0,0,1,1,0,2,1,0,2,1,75,38,50,47,3.19268e-05,25577,614793,235,55,112.75,Y,61,icp61_timing.csv,433.781164557,0.0,612.700278481,45.4863037975,0.0,567.096341772,0.0,716.02,65.1195443038,650.824367089,1785.44911392,
../benchmarks/icp72,0,0,0,0,1,2,0,2,0,0,2,1,86,45,60,47,3.19268e-05,27698,609529,253,55,116.09,Y,72,icp72_timing.csv,425.711518987,0.0,611.520886076,45.7054936709,0.0,565.69864557,0.0,713.349734177,65.5519620253,647.723670886,1773.4856962,
../benchmarks/icp73,0,0,0,0,1,2,0,2,1,0,2,1,86,44,60,47,3.19268e-05,27670,634917,259,55,113.59,Y,73,icp73_timing.csv,420.443025316,0.0,612.902392405,45.8224303797,0.0,566.964556962,0.0,718.905329114,64.9844810127,653.846240506,1775.18417722,
../benchmarks/icp75,0,0,0,0,1,2,0,4,1,0,2,1,90,46,61,47,3.19268e-05,30940,641833,259,55,114.71,Y,75,icp75_timing.csv,424.973177215,0.0,612.923708861,45.7860632911,0.0,567.02143038,0.0,718.540316456,65.3901012658,653.075189873,1779.29050633,
../benchmarks/icp96,0,0,0,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y,96,icp96_timing.csv,295.425063291,0.0,618.280708861,46.5253291139,0.0,571.63743038,0.0,728.095202532,68.3356708861,659.680075949,1664.18164557,
../benchmarks/icp97,0,0,0,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y,97,icp97_timing.csv,287.384405063,0.0,618.985101266,46.3636202532,0.0,572.505911392,0.0,730.793848101,66.0543544304,664.66264557,1660.03151899,
../benchmarks/icp108,0,0,0,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y,108,icp108_timing.csv,294.583835443,0.0,612.335607595,45.9791265823,0.0,566.240658228,0.0,723.768139241,66.6471265823,657.044063291,1653.47088608,
../benchmarks/icp109,0,0,0,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y,109,icp109_timing.csv,305.590658228,0.0,624.377708861,47.0017721519,0.0,577.252658228,0.0,740.835341772,71.5477974684,669.203734177,1693.19632911,
../benchmarks/icp120,0,0,0,1,0,2,0,2,0,0,2,1,73,37,56,70,2.40687e-05,26438,597592,259,80,136.25,Y,120,icp120_timing.csv,310.339113924,0.0,618.27956962,47.3715189873,0.0,570.806417722,0.0,721.828481013,65.9063037975,655.839810127,1673.48481013,
../benchmarks/icp121,0,0,0,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25963,620484,263,80,142.65,Y,121,icp121_timing.csv,273.986164557,0.0,613.414341772,45.8613544304,0.0,567.436518987,0.0,722.234037975,66.3816075949,655.774873418,1632.43265823,
../benchmarks/icp122,0,0,0,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30258,605532,259,80,128.18,Y,122,icp122_timing.csv,311.646455696,0.0,612.866367089,45.9444177215,0.0,566.806379747,0.0,721.132303797,66.4816329114,654.574696203,1668.42316456,
../benchmarks/icp123,0,0,0,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29240,628424,263,80,134.58,Y,123,icp123_timing.csv,298.989607595,0.0,614.158468354,46.1630506329,0.0,567.880278481,0.0,723.933189873,66.9550506329,656.900341772,1659.93797468,
../benchmarks/icp144,0,0,0,1,1,0,0,2,0,0,2,1,75,39,56,65,2.88825e-05,24758,586958,248,75,132.89,Y,144,icp144_timing.csv,345.625531646,0.0,613.428658228,46.1517468354,0.0,567.158088608,0.0,719.320734177,66.3827088608,652.857822785,1700.91493671,
../benchmarks/icp145,0,0,0,1,1,0,0,2,1,0,2,1,75,39,55,65,9.61809e-05,24820,612193,255,75,135.06,Y,145,icp145_timing.csv,340.836291139,0.0,611.84421519,45.7606962025,0.0,565.968227848,0.0,717.119405063,65.6901392405,651.353886076,1692.62189873,
../benchmarks/icp156,0,0,0,1,1,1,0,2,0,0,2,1,72,37,55,65,2.88825e-05,25446,586492,247,75,133.01,Y,156,icp156_timing.csv,316.296759494,0.0,613.144518987,45.4916582278,0.0,567.537278481,0.0,714.132708861,64.574721519,649.483139241,1666.48556962,
../benchmarks/icp157,0,0,0,1,1,1,0,2,1,0,2,1,72,37,54,65,9.61809e-05,25121,611023,252,75,141.18,Y,157,icp157_timing.csv,298.784556962,0.0,619.30335443,46.6681265823,0.0,572.516075949,0.0,731.848417722,68.516443038,663.253455696,1672.34607595,
../benchmarks/icp168,0,0,0,1,1,2,0,2,0,0,2,1,83,43,65,65,2.88825e-05,27643,606616,271,75,136.7,Y,168,icp168_timing.csv,304.912696203,0.0,612.719898734,45.7088481013,0.0,566.894493671,0.0,718.197848101,66.2252658228,651.897379747,1658.68746835,
../benchmarks/icp169,0,0,0,1,1,2,0,2,1,0,2,1,82,42,64,65,9.61809e-05,27339,631147,276,75,141.06,Y,169,icp169_timing.csv,297.314202532,0.0,616.852594937,46.6512278481,0.0,570.082417722,0.0,726.338582278,67.7322405063,658.528949367,1663.06177215,
../benchmarks/icp170,0,0,0,1,1,2,0,4,0,0,2,1,88,46,66,65,2.88825e-05,31512,613532,271,75,143.41,Y,170,icp170_timing.csv,303.284126582,0.0,624.986253165,47.4384050633,0.0,577.425037975,0.0,737.626822785,70.298164557,667.246493671,1688.01202532,
../benchmarks/icp171,0,0,0,1,1,2,0,4,1,0,2,1,87,44,65,65,9.61809e-05,30501,638063,276,75,132.62,Y,171,icp171_timing.csv,314.845164557,0.0,612.54435443,45.754835443,0.0,566.672873418,0.0,717.068936709,66.1376582278,650.851696203,1667.21924051,
../benchmarks/icp192,0,0,1,0,0,0,0,2,0,0,2,1,73,37,51,56,1.12993e-05,23448,595114,222,65,114.39,Y,192,icp192_timing.csv,429.438088608,0.0,612.569240506,46.1512405063,0.0,566.300797468,0.0,720.778278481,66.3319620253,654.369962025,1785.57658228,
../benchmarks/icp193,0,0,1,0,0,0,0,2,1,0,2,1,73,37,51,56,2.54235e-05,23661,622122,225,65,115.04,Y,193,icp193_timing.csv,417.606088608,0.0,614.719113924,45.5927341772,0.0,569.010126582,0.0,719.075341772,64.8183544304,654.181139241,1774.30848101,
../benchmarks/icp204,0,0,1,0,0,1,0,2,0,0,2,1,75,38,51,56,1.12993e-05,23490,595114,222,65,113.13,Y,204,icp204_timing.csv,441.488911392,0.0,613.593468354,45.6540759494,0.0,567.823481013,0.0,713.654873418,64.7403291139,648.840367089,1791.65810127,
../benchmarks/icp205,0,0,1,0,0,1,0,2,1,0,2,1,76,38,51,56,2.54235e-05,23710,622634,225,65,115.11,Y,205,icp205_timing.csv,428.553746835,0.0,610.769139241,45.7385063291,0.0,564.914481013,0.0,715.824075949,66.0316582278,649.71778481,1777.95962025,
../benchmarks/icp216,0,0,1,0,0,2,0,2,0,0,2,1,75,38,52,56,1.12993e-05,25582,595366,229,65,109.87,Y,216,icp216_timing.csv,430.647607595,0.0,612.471189873,45.4310379747,0.0,566.925417722,0.0,715.038835443,64.5694810127,650.396734177,1781.05873418,
../benchmarks/icp217,0,0,1,0,0,2,0,2,1,0,2,1,75,38,51,56,2.54235e-05,25569,621889,231,65,115.94,Y,217,icp217_timing.csv,414.029291139,0.0,611.651987342,45.9982658228,0.0,565.53556962,0.0,721.359759494,66.6980506329,654.58335443,1769.6764557,
../benchmarks/icp218,0,0,1,0,0,2,0,4,0,0,2,1,80,41,52,56,1.12993e-05,29441,603306,229,65,108.38,Y,218,icp218_timing.csv,433.728113924,0.0,613.789544304,45.5623037975,0.0,568.111037975,0.0,715.389075949,64.7878227848,650.526974684,1785.82443038,
../benchmarks/icp219,0,0,1,0,0,2,0,4,1,0,2,1,79,40,52,56,2.54235e-05,28748,629829,231,65,114.01,Y,219,icp219_timing.csv,423.254417722,0.0,613.667379747,45.4878987342,0.0,568.065025316,0.0,715.791329114,64.5422151899,651.175341772,1775.61518987,
../benchmarks/icp240,0,0,1,0,1,0,0,2,0,0,2,1,73,38,51,52,3.19268e-05,23844,586593,220,60,116.83,Y,240,icp240_timing.csv,432.40521519,0.0,614.912531646,45.6832405063,0.0,569.115139241,0.0,719.545481013,65.232164557,654.240544304,1789.89734177,
../benchmarks/icp241,0,0,1,0,1,0,0,2,1,0,2,1,73,38,50,52,3.19268e-05,24168,612469,229,60,117.3,Y,241,icp241_timing.csv,432.189341772,0.0,612.84178481,45.5874810127,0.0,567.139177215,0.0,715.422012658,65.2279113924,650.121455696,1783.3078481,
../benchmarks/icp252,0,0,1,0,1,1,0,2,0,0,2,1,71,36,52,52,3.19268e-05,24158,586127,219,60,117.75,Y,252,icp252_timing.csv,403.169898734,0.0,613.582594937,45.5726582278,0.0,567.895037975,0.0,714.222708861,64.7291012658,649.419544304,1753.90506329,
../benchmarks/icp253,0,0,1,0,1,1,0,2,1,0,2,1,70,36,51,52,3.19268e-05,24206,611395,226,60,118.52,Y,253,icp253_timing.csv,393.674886076,0.0,613.181481013,45.9045822785,0.0,567.162417722,0.0,717.95835443,64.9493037975,652.93378481,1747.70405063,
../benchmarks/icp264,0,0,1,0,1,2,0,2,0,0,2,1,80,41,58,52,3.19268e-05,26257,606251,243,60,116.21,Y,264,icp264_timing.csv,410.095708861,0.0,610.764911392,45.4123417722,0.0,565.238481013,0.0,717.590936709,66.1271265823,651.389037975,1761.32670886,
../benchmarks/icp265,0,0,1,0,1,2,0,2,1,0,2,1,79,40,57,52,3.19268e-05,26226,631519,250,60,114.82,Y,265,icp265_timing.csv,411.891556962,0.0,613.079670886,45.5876075949,0.0,567.377367089,0.0,712.773227848,65.3495822785,647.349632911,1760.64050633,
../benchmarks/icp266,0,0,1,0,1,2,0,4,0,0,2,1,85,44,59,52,3.19268e-05,30161,613167,243,60,117.34,Y,266,icp266_timing.csv,404.599303797,0.0,624.331949367,47.2316582278,0.0,576.978037975,0.0,735.476316456,69.3041012658,666.089151899,1786.87708861,
../benchmarks/icp267,0,0,1,0,1,2,0,4,1,0,2,1,83,42,58,52,3.19268e-05,29515,638435,250,60,112.85,Y,267,icp267_timing.csv,436.306873418,0.0,621.576860759,47.532278481,0.0,573.935746835,0.0,725.392025316,65.5511518987,659.750177215,1806.73189873,
../benchmarks/icp288,0,0,1,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y,288,icp288_timing.csv,297.809670886,0.0,612.090265823,45.9304556962,0.0,566.044417722,0.0,717.873518987,67.0567721519,650.739721519,1650.51367089,
../benchmarks/icp289,0,0,1,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y,289,icp289_timing.csv,293.910341772,0.0,611.84256962,45.4543797468,0.0,566.273810127,0.0,715.046367089,64.8995316456,650.071037975,1643.71759494,
../benchmarks/icp300,0,0,1,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y,300,icp300_timing.csv,290.815177215,0.0,614.098721519,45.5810632911,0.0,568.40264557,0.0,718.764189873,65.1193544304,653.569506329,1646.60443038,
../benchmarks/icp301,0,0,1,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y,301,icp301_timing.csv,305.355936709,0.0,613.418632911,45.5256708861,0.0,567.777240506,0.0,715.938329114,65.0341898734,650.830392405,1657.61924051,
../benchmarks/icp312,0,0,1,1,0,2,0,2,0,0,2,1,73,37,55,70,2.40687e-05,26455,597536,259,80,137.06,Y,312,icp312_timing.csv,295.648,0.0,611.06056962,45.511443038,0.0,565.434949367,0.0,712.858151899,64.4539240506,648.328506329,1642.47962025,
../benchmarks/icp313,0,0,1,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25981,620484,263,80,141.12,Y,313,icp313_timing.csv,283.940620253,0.0,620.280037975,46.0708734177,0.0,574.093367089,0.0,722.284303797,66.0332151899,656.17143038,1649.30886076,
../benchmarks/icp314,0,0,1,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30262,605476,259,80,133.77,Y,314,icp314_timing.csv,296.685835443,0.0,612.751405063,45.8121772152,0.0,566.823518987,0.0,721.369012658,66.4327088608,654.859443038,1653.65607595,
../benchmarks/icp315,0,0,1,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29189,628424,263,80,141.5,Y,315,icp315_timing.csv,289.956443038,0.0,613.783506329,45.6330632911,0.0,568.033860759,0.0,719.078974684,65.5543164557,653.447101266,1645.66708861,
../benchmarks/icp336,0,0,1,1,1,0,0,2,0,0,2,1,73,38,55,70,2.88825e-05,24619,588418,256,80,136.87,Y,336,icp336_timing.csv,317.380265823,0.0,613.119873418,45.9203544304,0.0,567.081949367,0.0,720.912772152,66.3476202532,654.485,1674.19658228,
../benchmarks/icp337,0,0,1,1,1,0,0,2,1,0,2,1,73,38,55,70,9.61809e-05,24449,612176,260,80,136.98,Y,337,icp337_timing.csv,315.435531646,0.0,617.253797468,46.2577848101,0.0,570.876265823,0.0,722.212582278,65.6920379747,656.416417722,1677.98303797,
../benchmarks/icp348,0,0,1,1,1,1,0,2,0,0,2,1,70,36,55,70,2.40687e-05,24960,588803,257,80,143.24,Y,348,icp348_timing.csv,278.710151899,0.0,614.863860759,45.953,0.0,568.795202532,0.0,725.974329114,66.8742278481,659.023075949,1642.58544304,
../benchmarks/icp349,0,0,1,1,1,1,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24581,611806,262,80,143.88,Y,349,icp349_timing.csv,286.467822785,0.0,613.143848101,45.4421139241,0.0,567.587443038,0.0,715.835670886,64.8929746835,650.866987342,1638.60316456,
../benchmarks/icp360,0,0,1,1,1,2,0,2,0,0,2,1,80,41,63,70,2.40687e-05,27396,608483,278,80,143.78,Y,360,icp360_timing.csv,280.434848101,0.0,612.096949367,45.7423670886,0.0,566.240620253,0.0,716.832683544,66.5446962025,650.212417722,1632.14405063,
../benchmarks/icp361,0,0,1,1,1,2,0,2,1,0,2,1,78,39,62,70,9.61809e-05,26993,631486,283,80,141.24,Y,361,icp361_timing.csv,285.160987342,0.0,621.623873418,46.8597721519,0.0,574.643607595,0.0,734.712936709,69.0674556962,665.564531646,1663.63594937,
