ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_EstimatedRaycast,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12
../benchmarks/raycasting0,0,0,0,0,0,0,0,0,72,36,46,38,4.76837E-005,23216,1030583,248,40,130.16,Y,0,raycasting0_timing.csv,306.127658228,0,357.422468354,46.8707468354,0,310.429810127,222.8527088612,0,725.560620253,69.2525189873,656.226126582,1410.82455696,
../benchmarks/raycasting1,0,0,0,0,0,0,0,1,74,37,49,46,4.76837E-005,22301,1099561,260,48,131.4,Y,1,raycasting1_timing.csv,305.56221519,0,323.232417722,45.7784050633,0,277.338936709,189.7618354432,0,709.709341772,67.1017721519,642.532911392,1360.92797468,
../benchmarks/raycasting2,0,0,0,0,0,0,0,2,80,39,50,61,4.76837E-005,24924,1169052,278,65,133.76,Y,2,raycasting2_timing.csv,302.916291139,0,229.758797468,53.4860886076,0,176.154316456,88.5772151902,0,828.440037975,66.1055443038,762.258810127,1384.03658228,
../benchmarks/raycasting3,0,0,0,0,0,0,1,0,69,33,38,44,0.195312,24489,860602,211,43,132.1,Y,3,raycasting3_timing.csv,301.245607595,0,196.491531646,50.0476455696,0,146.329759494,58.7526582282,0,805.449620253,65.6420506329,739.735012658,1326.15341772,
../benchmarks/raycasting4,0,0,0,0,0,0,1,1,72,35,42,51,0.195312,23719,919234,220,51,130.03,Y,4,raycasting4_timing.csv,307.759670886,0,188.356468354,46.6712025316,0,141.56921519,53.9921139242,0,722.261316456,69.2336202532,652.949240506,1240.32025316,
../benchmarks/raycasting5,0,0,0,0,0,0,1,2,77,38,46,66,0.195312,26030,1018500,261,68,127.35,Y,5,raycasting5_timing.csv,306.623443038,0,172.507848101,46.1190506329,0,126.273670886,38.6965696202,0,717.713126582,66.7112151899,650.926582278,1219.14088608,
../benchmarks/raycasting6,0,0,0,0,0,1,0,0,72,36,46,37,4.76837E-005,22989,1030583,248,38,122.56,Y,6,raycasting6_timing.csv,305.984556962,0,365.324873418,46.6792151899,0,318.526139241,230.9490379752,0,720.18335443,68.3020632911,651.803088608,1413.37113924,
../benchmarks/raycasting7,0,0,0,0,0,1,0,1,74,37,48,42,4.76837E-005,22056,1099642,260,44,132.04,Y,7,raycasting7_timing.csv,303.845759494,0,326.230974684,46.4647721519,0,279.648556962,192.0714556962,0,721.697227848,69.6135822785,652.003,1373.70759494,
../benchmarks/raycasting8,0,0,0,0,0,1,0,2,79,39,50,57,4.76837E-005,24657,1168982,280,61,131.87,Y,8,raycasting8_timing.csv,303.507443038,0,223.005088608,45.7821139241,0,177.105746835,89.5286455692,0,715.337734177,67.2259240506,648.031291139,1264.35518987,
../benchmarks/raycasting9,0,0,0,0,0,1,1,0,68,33,38,42,0.195312,24257,860602,211,41,126.91,Y,9,raycasting9_timing.csv,305.814594937,0,187.511037975,44.9346202532,0,142.460746835,54.8836455692,0,701.27864557,64.3163417722,636.888468354,1217.54012658,
../benchmarks/raycasting10,0,0,0,0,0,1,1,1,70,34,41,47,0.195312,23296,919234,220,47,133.13,Y,10,raycasting10_timing.csv,304.666924051,0,187.782291139,46.6011518987,0,141.064405063,53.4873037972,0,723.261848101,70.026556962,653.155455696,1237.5256962,
../benchmarks/raycasting11,0,0,0,0,0,1,1,2,75,37,45,63,0.195312,25661,1018500,261,64,131.28,Y,11,raycasting11_timing.csv,303.864329114,0,172.946139241,45.4582405063,0,127.372873418,39.7957721522,0,709.504202532,67.5657088608,641.862670886,1208.87772152,
../benchmarks/raycasting12,0,0,0,0,1,0,0,0,72,35,45,38,4.76837E-005,23166,1030604,247,40,127.48,Y,12,raycasting12_timing.csv,302.608632911,0,366.600531646,46.566278481,0,319.912189873,232.3350886072,0,725.083126582,71.241,653.762202532,1416.59177215,
../benchmarks/raycasting13,0,0,0,0,1,0,0,1,74,37,47,46,4.76837E-005,22321,1099582,259,48,131.37,Y,13,raycasting13_timing.csv,302.877835443,0,320.720860759,46.3983164557,0,274.205126582,186.6280253162,0,719.954379747,68.7672405063,651.110544304,1365.6243038,
../benchmarks/raycasting14,0,0,0,0,1,0,0,2,79,39,49,61,4.76837E-005,24934,1169073,277,65,122.77,Y,14,raycasting14_timing.csv,303.987696203,0,223.192316456,45.1022658228,0,177.975708861,90.3986075952,0,702.830329114,64.3697594937,638.387202532,1252.91367089,
../benchmarks/raycasting15,0,0,0,0,1,0,1,0,71,34,40,44,0.195312,24615,900282,216,43,129.16,Y,15,raycasting15_timing.csv,305.306278481,0,183.026316456,44.9303291139,0,137.980835443,50.4037341772,0,700.524544304,64.494835443,635.956873418,1211.75696203,
../benchmarks/raycasting17,0,0,0,0,1,0,1,2,79,38,48,66,0.195312,26094,1058180,266,68,132.04,Y,17,raycasting17_timing.csv,294.914392405,0,183.177012658,54.4848734177,0,128.57556962,40.9984683542,0,852.197113924,72.0169620253,780.101797468,1351.99556962,
../benchmarks/raycasting18,0,0,0,0,1,1,0,0,71,35,44,37,4.76837E-005,23044,1030604,247,38,132.92,Y,18,raycasting18_timing.csv,308.86035443,0,352.727341772,46.585443038,0,306.021113924,218.4440126582,0,719.503126582,69.0527341772,650.372075949,1403.09772152,
../benchmarks/raycasting19,0,0,0,0,1,1,0,1,74,36,47,42,4.76837E-005,22103,1099663,259,44,126.08,Y,19,raycasting19_timing.csv,303.062101266,0,350.97178481,46.3153924051,0,304.538253165,216.9611518992,0,722.448417722,68.9946582278,653.374746835,1398.51556962,
../benchmarks/raycasting20,0,0,0,0,1,1,0,2,79,39,49,57,4.76837E-005,24612,1169003,279,61,126.35,Y,20,raycasting20_timing.csv,305.691075949,0,222.067734177,46.5544177215,0,175.393126582,87.8160253162,0,724.367873418,71.782278481,652.505329114,1309.64658228,
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,70,34,40,42,0.195312,24334,900282,216,41,130.78,Y,21,raycasting21_timing.csv,302.878607595,0,185.453518987,46.4573417722,0,138.875974684,51.2988734182,0,718.286379747,68.6998227848,649.506835443,1228.82670886,
../benchmarks/raycasting22,0,0,0,0,1,1,1,1,72,34,43,47,0.195312,23439,958914,225,47,124.71,Y,22,raycasting22_timing.csv,304.234873418,0,184.179860759,46.4858481013,0,137.574949367,49.9978481012,0,721.96921519,69.9100379747,651.979468354,1232.29265823,
../benchmarks/raycasting23,0,0,0,0,1,1,1,2,77,37,47,63,0.195312,25673,1058180,266,64,133.36,Y,23,raycasting23_timing.csv,303.485417722,0,169.933443038,46.5980379747,0,123.217379747,35.6402784812,0,722.844708861,69.279,653.486113924,1218.10151899,
../benchmarks/raycasting27,0,0,0,1,0,0,1,0,80,37,54,44,0.195312,25101,1168591,250,43,129.22,Y,27,raycasting27_timing.csv,301.402658228,0,184.429012658,52.3051518987,0,132.007911392,44.4308101262,0,846.451886076,66.2457468354,780.129607595,1355.27860759,
../benchmarks/raycasting28,0,0,0,1,0,0,1,1,80,38,58,51,0.195312,24325,1226711,259,51,132.57,Y,28,raycasting28_timing.csv,304.241265823,0,172.448898734,46.3732531646,0,125.95635443,38.3792531642,0,718.909556962,68.5727721519,650.257025316,1217.36670886,
../benchmarks/raycasting29,0,0,0,1,0,0,1,2,85,41,61,66,0.195312,26628,1325977,300,68,131.82,Y,29,raycasting29_timing.csv,304.480759494,0,167.743936709,46.5652151899,0,121.062556962,33.4854556962,0,718.893316456,69.6244556962,649.181696203,1213.1564557,
../benchmarks/raycasting33,0,0,0,1,0,1,1,0,80,37,54,42,0.195312,24934,1168591,250,41,131.96,Y,33,raycasting33_timing.csv,305.948126582,0,171.377253165,44.8793670886,0,126.38221519,38.8051139242,0,701.072873418,64.2648481013,636.733607595,1201.28455696,
../benchmarks/raycasting34,0,0,0,1,0,1,1,1,78,37,57,47,0.195312,23964,1226711,259,47,126.16,Y,34,raycasting34_timing.csv,306.648151899,0,170.841316456,44.9804303797,0,125.744924051,38.1678227852,0,702.09264557,64.4343417722,637.585063291,1202.50772152,
../benchmarks/raycasting35,0,0,0,1,0,1,1,2,83,40,61,63,0.195312,26274,1325977,300,64,132.04,Y,35,raycasting35_timing.csv,307.116316456,0,165.204531646,45.0359240506,0,120.052544304,32.4754430382,0,703.495582278,64.4698481013,638.953303797,1198.77696203,
../benchmarks/raycasting39,0,0,0,1,1,0,1,0,82,38,56,44,0.195312,25238,1208271,255,43,127.01,Y,39,raycasting39_timing.csv,301.324683544,0,176.456101266,49.8734936709,0,126.465734177,38.8886329112,0,806.737911392,65.6516455696,741.012594937,1307.44594937,
../benchmarks/raycasting40,0,0,0,1,1,0,1,1,82,39,60,51,0.195312,24429,1266391,264,51,136.46,Y,40,raycasting40_timing.csv,304.243455696,0,168.217670886,46.4772911392,0,121.624164557,34.0470632912,0,722.096291139,68.4153797468,653.600367089,1216.46772152,
../benchmarks/raycasting41,0,0,0,1,1,0,1,2,87,41,63,66,0.195312,26741,1365657,305,68,132.88,Y,41,raycasting41_timing.csv,306.166506329,0,164.051544304,46.6012658228,0,117.334683544,29.7575822782,0,723.323455696,68.6493544304,654.593911392,1215.58822785,
../benchmarks/raycasting45,0,0,0,1,1,1,1,0,82,37,56,42,0.195312,24960,1208271,255,41,130.07,Y,45,raycasting45_timing.csv,306.175974684,0,167.637835443,44.8988734177,0,122.624025316,35.0469240502,0,699.858253165,64.2908101266,635.492227848,1196.63544304,
../benchmarks/raycasting46,0,0,0,1,1,1,1,1,80,38,59,47,0.195312,24000,1266391,264,47,131.71,Y,46,raycasting46_timing.csv,303.418582278,0,169.413139241,46.4566075949,0,122.839468354,35.2623670882,0,721.651025316,68.8929620253,652.679493671,1216.51658228,
../benchmarks/raycasting47,0,0,0,1,1,1,1,2,85,40,63,63,0.195312,26285,1365657,305,64,130.29,Y,47,raycasting47_timing.csv,307.001873418,0,161.295417722,45.2512151899,0,115.92856962,28.3514683542,0,707.697848101,64.7586962025,642.865974684,1198.75177215,
../benchmarks/raycasting48,0,0,1,0,0,0,0,0,80,39,54,38,4.76837E-005,24703,1187633,292,40,129.13,Y,48,raycasting48_timing.csv,303.075594937,0,698.617810127,46.7022278481,0,651.794101266,564.2170000002,0,724.864582278,68.8789113924,655.906240506,1748.82012658,
../benchmarks/raycasting49,0,0,1,0,0,0,0,1,79,40,57,46,4.76837E-005,23856,1256099,304,48,124.05,Y,49,raycasting49_timing.csv,304.362164557,0,629.564379747,45.9056455696,0,583.539417722,495.9623164562,0,713.706392405,68.0596835443,645.567658228,1669.91670886,
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,85,42,59,61,4.76837E-005,26473,1325590,322,65,127.35,Y,50,raycasting50_timing.csv,303.915265823,0,269.949987342,44.9701139241,0,224.862227848,137.2851265822,0,701.799683544,64.7872531646,636.939417722,1298.60848101,
../benchmarks/raycasting51,0,0,1,0,0,0,1,0,82,38,49,44,0.195312,26522,1062178,239,43,133.45,Y,51,raycasting51_timing.csv,297.951303797,0,185.181696203,46.4540506329,0,138.611405063,51.0343037972,0,740.757392405,64.9876075949,675.695936709,1246.90531646,
../benchmarks/raycasting52,0,0,1,0,0,0,1,1,82,39,53,51,0.195312,25741,1120298,248,51,134.28,Y,52,raycasting52_timing.csv,303.663240506,0,181.058240506,45.0565822785,0,135.885911392,48.3088101262,0,702.750265823,64.4550126582,638.221405063,1210.39607595,
../benchmarks/raycasting53,0,0,1,0,0,0,1,2,87,42,57,66,0.195312,28039,1219564,289,68,128.69,Y,53,raycasting53_timing.csv,306.843240506,0,162.629860759,44.9554936709,0,117.559556962,29.9824556962,0,703.954544304,64.408556962,639.473670886,1196.34632911,
../benchmarks/raycasting54,0,0,1,0,0,1,0,0,80,39,54,37,4.76837E-005,24560,1187633,292,38,123.96,Y,54,raycasting54_timing.csv,308.534367089,0,766.698012658,45.698556962,0,720.877329114,633.3002278482,0,707.139240506,67.4896202532,639.572531646,1805.50050633,
../benchmarks/raycasting55,0,0,1,0,0,1,0,1,79,40,57,42,4.76837E-005,23668,1256180,304,44,117.43,Y,55,raycasting55_timing.csv,305.945050633,0,594.396253165,45.9292151899,0,548.338835443,460.7617341772,0,718.016987342,69.1990253165,648.727050633,1640.96746835,
../benchmarks/raycasting56,0,0,1,0,0,1,0,2,84,42,59,57,4.76837E-005,26174,1325520,324,61,126.59,Y,56,raycasting56_timing.csv,304.21678481,0,261.100329114,45.5112911392,0,215.466392405,127.8892911392,0,713.707101266,67.2666962025,646.350886076,1301.82367089,
../benchmarks/raycasting57,0,0,1,0,0,1,1,0,81,38,49,42,0.195312,26444,1062178,239,41,128.18,Y,57,raycasting57_timing.csv,303.818278481,0,182.659632911,45.1613670886,0,137.382379747,49.8052784812,0,707.598417722,64.468835443,643.043265823,1216.99898734,
../benchmarks/raycasting58,0,0,1,0,0,1,1,1,80,38,52,47,0.195312,25289,1120298,248,47,133.13,Y,58,raycasting58_timing.csv,304.929797468,0,182.944455696,46.5665443038,0,136.25878481,48.6816835442,0,721.389911392,69.3481518987,651.963835443,1230.84898734,
../benchmarks/raycasting59,0,0,1,0,0,1,1,2,85,41,56,63,0.195312,27648,1219564,289,64,131.14,Y,59,raycasting59_timing.csv,302.947101266,0,162.625708861,45.0210506329,0,117.486265823,29.9091645572,0,704.119075949,64.3640506329,639.67835443,1192.62772152,
../benchmarks/raycasting60,0,0,1,0,1,0,0,0,76,38,52,38,4.76837E-005,24427,1146513,290,40,122.88,Y,60,raycasting60_timing.csv,304.189455696,0,743.171037975,46.5195822785,0,696.527987342,608.9508860762,0,720.288582278,68.7772405063,651.431696203,1789.89025316,
../benchmarks/raycasting61,0,0,1,0,1,0,0,1,78,39,55,46,4.76837E-005,23571,1215491,302,48,133.03,Y,61,raycasting61_timing.csv,304.623075949,0,646.026379747,45.9044050633,0,600.000734177,512.4236329112,0,721.305544304,71.5034936709,649.722911392,1694.50012658,
../benchmarks/raycasting62,0,0,1,0,1,0,0,2,83,41,57,61,4.76837E-005,26219,1284982,320,65,128.79,Y,62,raycasting62_timing.csv,303.770696203,0,283.659506329,45.3598481013,0,238.180468354,150.6033670882,0,708.170974684,67.398835443,640.694810127,1318.39177215,
../benchmarks/raycasting63,0,0,1,0,1,0,1,0,76,36,43,44,0.195312,26346,1019959,233,43,131.47,Y,63,raycasting63_timing.csv,304.697063291,0,180.337012658,46.476556962,0,133.742367089,46.1652658232,0,722.488113924,69.9429493671,652.465050633,1229.42481013,
../benchmarks/raycasting64,0,0,1,0,1,0,1,1,79,38,47,51,0.195312,25466,1078591,242,51,137.76,Y,64,raycasting64_timing.csv,306.695556962,0,175.621303797,44.9504936709,0,130.556177215,42.9790759492,0,701.390873418,64.3756835443,636.940962025,1206.59835443,
../benchmarks/raycasting65,0,0,1,0,1,0,1,2,84,41,50,66,0.195312,27765,1177857,283,68,134.38,Y,65,raycasting65_timing.csv,304.697924051,0,161.076987342,44.9067468354,0,116.055721519,28.4786202532,0,703.97443038,64.5149493671,639.386620253,1192.65265823,
../benchmarks/raycasting66,0,0,1,0,1,1,0,0,75,37,51,37,4.76837E-005,24293,1145713,288,38,131.64,Y,66,raycasting66_timing.csv,307.098797468,0,687.813848101,46.3323417722,0,641.36121519,553.7841139242,0,719.974734177,67.9846202532,651.911468354,1736.85189873,
../benchmarks/raycasting67,0,0,1,0,1,1,0,1,77,38,54,42,4.76837E-005,23363,1214772,300,44,136.01,Y,67,raycasting67_timing.csv,305.600379747,0,623.806075949,45.682721519,0,578.005126582,490.4280253162,0,711.554987342,67.6619746835,643.816810127,1663.5321519,
../benchmarks/raycasting68,0,0,1,0,1,1,0,2,83,41,55,57,4.76837E-005,25930,1284112,320,61,127.95,Y,68,raycasting68_timing.csv,291.338189873,0,258.711734177,44.5480886076,0,214.047670886,126.4705696202,0,659.374708861,65.8210632911,593.480227848,1232.31848101,
../benchmarks/raycasting69,0,0,1,0,1,1,1,0,76,36,43,42,0.195312,26130,1019959,233,41,125.96,Y,69,raycasting69_timing.csv,303.588734177,0,179.560772152,44.8539113924,0,134.590417722,47.0133164562,0,699.680734177,64.4588481013,635.148164557,1205.80126582,
../benchmarks/raycasting70,0,0,1,0,1,1,1,1,78,37,46,47,0.195312,25094,1078591,242,47,132.15,Y,70,raycasting70_timing.csv,304.168025316,0,178.262936709,46.4953164557,0,131.649544304,44.0724430382,0,722.348126582,70.1996962025,652.068316456,1226.64886076,
../benchmarks/raycasting71,0,0,1,0,1,1,1,2,83,40,50,63,0.195312,27422,1177857,283,64,131.18,Y,71,raycasting71_timing.csv,306.603164557,0,163.365012658,46.6083670886,0,116.64043038,29.0633291142,0,725.482607595,69.4122405063,655.989139241,1217.42594937,
../benchmarks/raycasting75,0,0,1,1,0,0,1,0,90,42,65,44,0.195312,27325,1406429,282,43,127.89,Y,75,raycasting75_timing.csv,304.763265823,0,166.749721519,44.9899240506,0,121.644911392,34.0678101262,0,702.835962025,64.5718607595,638.191101266,1197.34063291,
../benchmarks/raycasting76,0,0,1,1,0,0,1,1,90,43,68,51,0.195312,26385,1464570,290,51,131.09,Y,76,raycasting76_timing.csv,306.142050633,0,166.946303797,46.0439493671,0,120.784113924,33.2070126582,0,714.914253165,68.4606075949,646.374329114,1210.61265823,
../benchmarks/raycasting81,0,0,1,1,0,1,1,0,89,41,64,42,0.195312,26971,1406519,282,41,131.11,Y,81,raycasting81_timing.csv,303.960443038,0,168.560468354,46.6176835443,0,121.825443038,34.2483417722,0,721.651797468,68.7985696203,652.773620253,1216.22873418,
../benchmarks/raycasting82,0,0,1,1,0,1,1,1,88,42,68,47,0.195312,25895,1464639,291,47,132.71,Y,82,raycasting82_timing.csv,302.88621519,0,167.147531646,46.6295063291,0,120.403316456,32.8262151902,0,720.395797468,68.9604303797,651.358139241,1212.50860759,
../benchmarks/raycasting87,0,0,1,1,1,0,1,0,87,40,58,44,0.195312,26990,1364535,276,43,131.52,Y,87,raycasting87_timing.csv,304.335278481,0,167.581075949,46.3996202532,0,121.064822785,33.4877215192,0,724.497050633,71.2007088608,653.216772152,1218.27810127,
../benchmarks/raycasting88,0,0,1,1,1,0,1,1,87,41,62,51,0.195312,26238,1422655,285,51,130.46,Y,88,raycasting88_timing.csv,304.214417722,0,166.335139241,45.9666329114,0,120.252126582,32.6750253162,0,715.888962025,67.7269620253,648.084696203,1209.02949367,
../benchmarks/raycasting93,0,0,1,1,1,1,1,0,87,40,58,42,0.195312,26889,1364535,276,41,132.32,Y,93,raycasting93_timing.csv,306.064848101,0,167.517949367,46.2156962025,0,121.185886076,33.6087848102,0,716.523050633,68.5460379747,647.895341772,1212.48417722,
../benchmarks/raycasting94,0,0,1,1,1,1,1,1,85,40,61,47,0.195312,25712,1422655,285,47,132.62,Y,94,raycasting94_timing.csv,307.385886076,0,164.187582278,44.887164557,0,119.183050633,31.6059493672,0,703.699063291,64.3635316456,639.263063291,1198.23405063,
../benchmarks/raycasting95,0,0,1,1,1,1,1,2,90,43,65,63,0.195312,28038,1521921,326,64,120.52,Y,95,raycasting95_timing.csv,302.456936709,0,158.454620253,45.4778481013,0,112.859810127,25.2827088612,0,708.309379747,66.4096835443,641.825037975,1191.88164557,
../benchmarks/raycasting106,0,1,0,0,0,1,1,1,87,43,52,56,0.150927,30383,1310647,299,54,131.04,Y,106,raycasting106_timing.csv,304.833620253,0,192.720493671,44.8808607595,0,147.722898734,60.1457974682,0,703.333189873,64.2962405063,638.964481013,1223.88050633,
