ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion0,1,1,0,0,64,0,0,0,1,1,1,1,0,0,1,54,27,56,33,4.76837e-05,8671.52,15671,1187086,247,41,133.15,P,N,Y
../benchmarks/depth_fusion1,1,1,0,0,64,0,0,0,1,1,1,1,0,1,1,57,29,62,33,4.76837e-05,8096.62,15810,1172558,247,41,130.73,P,N,Y
../benchmarks/depth_fusion2,1,1,0,0,64,0,0,0,1,2,1,1,0,0,1,84,43,90,66,4.76837e-05,999,42327,1977431,-1,82,-1,F,Y,N
../benchmarks/depth_fusion4,1,1,0,0,64,0,0,0,2,1,1,1,0,0,1,67,33,69,59,4.76837e-05,4456.57,20808,1507960,325,74,137.04,P,N,Y
../benchmarks/depth_fusion5,1,1,0,0,64,0,0,0,2,1,1,1,0,1,1,71,37,76,59,4.14848e-05,4379.73,20661,1380145,307,74,127.11,P,N,Y
../benchmarks/depth_fusion8,1,1,0,0,64,0,0,1,1,1,1,1,0,0,1,54,28,38,33,0.000190735,3719.27,19965,630512,159,41,125.67,P,N,Y
../benchmarks/depth_fusion9,1,1,0,0,64,0,0,1,1,1,1,1,0,1,1,52,27,53,33,0.000190735,7469.51,14219,1024493,201,41,134.8,P,N,Y
../benchmarks/depth_fusion10,1,1,0,0,64,0,0,1,1,2,1,1,0,0,1,86,47,64,66,0.000190735,999,35215,1000352,-1,82,-1,F,Y,N
../benchmarks/depth_fusion11,1,1,0,0,64,0,0,1,1,2,1,1,0,1,1,74,37,62,66,0.000190735,8055.02,23862,1583881,312,82,130.91,P,N,Y
../benchmarks/depth_fusion12,1,1,0,0,64,0,0,1,2,1,1,1,0,0,1,79,43,59,66,0.000190735,999,35869,1051952,-1,82,-1,F,Y,N
../benchmarks/depth_fusion13,1,1,0,0,64,0,0,1,2,1,1,1,0,1,1,68,35,62,66,0.000165838,27.5608,18912,721906,211,82,101.49,P,N,Y
../benchmarks/depth_fusion16,1,1,0,0,64,0,1,0,1,1,1,1,0,0,1,63,34,47,33,4.59867e-05,2046.14,22905,679382,191,41,127.59,P,N,Y
../benchmarks/depth_fusion17,1,1,0,0,64,0,1,0,1,1,1,1,0,1,1,59,30,53,33,3.97619e-05,1311.32,15081,628404,188,41,133.08,P,N,Y
../benchmarks/depth_fusion18,1,1,0,0,64,0,1,0,1,1,1,2,0,0,1,64,34,50,33,4.28206e-05,2011.3,22975,678446,195,41,130.07,P,N,Y
../benchmarks/depth_fusion19,1,1,0,0,64,0,1,0,1,1,1,2,0,1,1,60,30,55,33,3.97619e-05,1302.66,15070,627791,189,41,133.33,P,N,Y
../benchmarks/depth_fusion20,1,1,0,0,64,0,1,0,1,1,2,1,0,0,1,64,34,49,33,4.28206e-05,2002.35,23066,678678,194,41,131.76,P,N,Y
../benchmarks/depth_fusion21,1,1,0,0,64,0,1,0,1,1,2,1,0,1,1,60,30,54,33,3.65315e-05,1271.72,15214,627892,191,41,136.98,P,N,Y
../benchmarks/depth_fusion22,1,1,0,0,64,0,1,0,1,1,2,2,0,0,1,64,34,50,33,4.28206e-05,2008.51,23002,677934,195,41,128.93,P,N,Y
../benchmarks/depth_fusion23,1,1,0,0,64,0,1,0,1,1,2,2,0,1,1,60,30,56,33,3.65315e-05,1259.52,15146,627279,192,41,137.09,P,N,Y
../benchmarks/depth_fusion25,1,1,0,0,64,0,1,0,1,2,1,1,0,1,1,84,42,76,66,1.7997e-05,1378.05,23053,971415,303,82,133.01,P,N,Y
../benchmarks/depth_fusion27,1,1,0,0,64,0,1,0,1,2,1,2,0,1,1,84,42,76,66,1.76698e-05,1366.85,23103,972273,305,82,133.22,P,N,Y
../benchmarks/depth_fusion29,1,1,0,0,64,0,1,0,1,2,2,1,0,1,1,84,42,76,66,1.76673e-05,1353.77,23249,974999,305,82,134.72,P,N,Y
../benchmarks/depth_fusion31,1,1,0,0,64,0,1,0,1,2,2,2,0,1,1,84,42,76,66,1.73425e-05,1398.62,23280,975985,307,82,129.33,P,N,Y
../benchmarks/depth_fusion32,1,1,0,0,64,0,1,0,2,1,1,1,0,0,1,79,43,56,59,4.28206e-05,999,33883,792486,-1,74,-1,F,Y,N
../benchmarks/depth_fusion33,1,1,0,0,64,0,1,0,2,1,1,1,0,1,1,72,36,63,59,3.95758e-05,828.761,19879,744046,242,74,136.89,P,N,Y
../benchmarks/depth_fusion34,1,1,0,0,64,0,1,0,2,1,1,2,0,0,1,79,43,59,59,4.28206e-05,999,33915,791566,-1,74,-1,F,Y,N
../benchmarks/depth_fusion35,1,1,0,0,64,0,1,0,2,1,1,2,0,1,1,72,36,66,59,3.95758e-05,814.903,19803,744953,243,74,137.45,P,N,Y
../benchmarks/depth_fusion36,1,1,0,0,64,0,1,0,2,1,2,1,0,0,1,79,43,57,59,4.28206e-05,999,33891,791798,-1,74,-1,F,Y,N
../benchmarks/depth_fusion37,1,1,0,0,64,0,1,0,2,1,2,1,0,1,1,72,36,64,59,4.26201e-05,823.429,19844,745054,242,74,136.64,P,N,Y
../benchmarks/depth_fusion38,1,1,0,0,64,0,1,0,2,1,2,2,0,0,1,79,43,59,59,4.58792e-05,999,33882,791438,-1,74,-1,F,Y,N
../benchmarks/depth_fusion39,1,1,0,0,64,0,1,0,2,1,2,2,0,1,1,72,36,66,59,4.26201e-05,832.315,19789,744825,243,74,132.99,P,N,Y
../benchmarks/depth_fusion48,1,1,0,0,64,0,1,1,1,1,1,1,0,0,1,61,32,50,33,0.000177526,3826.39,20984,924634,197,41,122.97,P,N,Y
../benchmarks/depth_fusion49,1,1,0,0,64,0,1,1,1,1,1,1,0,1,1,53,27,42,33,0.000159048,971.642,13106,593443,151,41,133.36,P,N,Y
../benchmarks/depth_fusion50,1,1,0,0,64,0,1,1,1,1,1,2,0,0,1,61,32,44,33,0.000171282,3716.16,21081,670985,169,41,126.56,P,N,Y
../benchmarks/depth_fusion51,1,1,0,0,64,0,1,1,1,1,1,2,0,1,1,53,27,44,33,0.000159048,983.687,13065,592917,152,41,130.13,P,N,Y
../benchmarks/depth_fusion52,1,1,0,0,64,0,1,1,1,1,2,1,0,0,1,61,33,43,33,0.000171282,3846.44,21161,671129,168,41,122.3,P,N,Y
../benchmarks/depth_fusion53,1,1,0,0,64,0,1,1,1,1,2,1,0,1,1,53,27,43,33,0.000146126,1012.76,13217,592931,154,41,126.83,P,N,Y
../benchmarks/depth_fusion54,1,1,0,0,64,0,1,1,1,1,2,2,0,0,1,61,33,45,33,0.000171282,3941.94,21131,670473,169,41,118.97,P,N,Y
../benchmarks/depth_fusion55,1,1,0,0,64,0,1,1,1,1,2,2,0,1,1,53,27,45,33,0.000146126,951.286,13146,592405,155,41,133.49,P,N,Y
../benchmarks/depth_fusion56,1,1,0,0,64,0,1,1,1,2,1,1,0,0,1,90,49,67,66,3.43579e-05,999,35895,1018674,-1,82,-1,F,Y,N
../benchmarks/depth_fusion57,1,1,0,0,64,0,1,1,1,2,1,1,0,1,1,74,36,57,66,4.19929e-05,1040.21,21182,897150,248,82,130.49,P,N,Y
../benchmarks/depth_fusion58,1,1,0,0,64,0,1,1,1,2,1,2,0,0,1,90,49,67,66,2.64291e-05,999,35953,1019538,-1,82,-1,F,Y,N
../benchmarks/depth_fusion59,1,1,0,0,64,0,1,1,1,2,1,2,0,1,1,74,36,57,66,4.12294e-05,1037.09,21228,898008,250,82,129.69,P,N,Y
../benchmarks/depth_fusion61,1,1,0,0,64,0,1,1,1,2,2,1,0,1,1,75,37,58,66,3.09221e-05,1020.0,21364,900734,250,82,132.1,P,N,Y
../benchmarks/depth_fusion63,1,1,0,0,64,0,1,1,1,2,2,2,0,1,1,75,37,58,66,3.03494e-05,1041.4,21353,901720,252,82,128.18,P,N,Y
../benchmarks/depth_fusion64,1,1,0,0,64,0,1,1,2,1,1,1,0,0,1,87,48,65,66,0.000171282,999,37301,1098344,-1,82,-1,F,Y,N
../benchmarks/depth_fusion65,1,1,0,0,64,0,1,1,2,1,1,1,0,1,1,68,34,51,66,0.000158303,66.314,19028,698171,204,82,110.09,P,N,Y
../benchmarks/depth_fusion66,1,1,0,0,64,0,1,1,2,1,1,2,0,0,1,87,48,66,66,0.000171282,999,37317,1096920,-1,82,-1,F,Y,N
../benchmarks/depth_fusion67,1,1,0,0,64,0,1,1,2,1,1,2,0,1,1,68,34,52,66,0.000158303,58.147,18944,697706,205,82,99.13,P,N,Y
../benchmarks/depth_fusion68,1,1,0,0,64,0,1,1,2,1,2,1,0,0,1,87,48,65,66,0.000171282,999,37393,1097832,-1,82,-1,F,Y,N
../benchmarks/depth_fusion69,1,1,0,0,64,0,1,1,2,1,2,1,0,1,1,68,34,51,66,0.00017048,57.928,19001,697659,204,82,108.81,P,N,Y
../benchmarks/depth_fusion70,1,1,0,0,64,0,1,1,2,1,2,2,0,0,1,87,48,66,66,0.000183517,999,37187,1096792,-1,82,-1,F,Y,N
../benchmarks/depth_fusion71,1,1,0,0,64,0,1,1,2,1,2,2,0,1,1,68,34,52,66,0.00017048,44.2772,18919,697578,205,82,108.1,P,N,Y
../benchmarks/depth_fusion80,1,1,0,0,64,0,2,0,1,1,1,1,0,0,1,63,32,59,33,4.41033e-05,64.2226,15291,779278,217,41,137.3,P,N,Y
../benchmarks/depth_fusion81,1,1,0,0,64,0,2,0,1,1,1,1,0,1,1,63,33,55,33,3.82229e-05,61.4167,15291,767634,217,41,137.0,P,N,Y
../benchmarks/depth_fusion82,1,1,0,0,64,0,2,0,1,1,1,2,0,0,1,61,31,56,33,4.4364e-05,54.9016,15014,687851,198,41,133.22,P,N,Y
../benchmarks/depth_fusion83,1,1,0,0,64,0,2,0,1,1,1,2,0,1,1,61,31,54,33,3.84488e-05,51.8506,15085,675667,198,41,133.45,P,N,Y
../benchmarks/depth_fusion84,1,1,0,0,64,0,2,0,1,1,2,1,0,0,1,62,32,55,33,4.14064e-05,55.1083,15239,690128,195,41,137.4,P,N,Y
../benchmarks/depth_fusion85,1,1,0,0,64,0,2,0,1,1,2,1,0,1,1,62,32,55,33,3.41356e-05,57.3624,15193,702188,197,41,132.32,P,N,Y
../benchmarks/depth_fusion86,1,1,0,0,64,0,2,0,1,1,2,2,0,0,1,61,32,57,33,4.13902e-05,45.6374,15125,687339,198,41,133.38,P,N,Y
../benchmarks/depth_fusion87,1,1,0,0,64,0,2,0,1,1,2,2,0,1,1,61,31,57,33,3.41222e-05,44.6498,15094,699335,200,41,137.85,P,N,Y
../benchmarks/depth_fusion88,1,1,0,0,64,0,2,0,1,2,1,1,0,0,1,85,43,75,66,2.07577e-05,65.6155,22606,951342,292,82,131.8,P,N,Y
../benchmarks/depth_fusion89,1,1,0,0,64,0,2,0,1,2,1,1,0,1,1,84,42,69,66,1.76604e-05,63.6483,22537,914080,282,82,137.08,P,N,Y
../benchmarks/depth_fusion90,1,1,0,0,64,0,2,0,1,2,1,2,0,0,1,85,43,75,66,2.03802e-05,55.8781,22600,952206,294,82,133.17,P,N,Y
../benchmarks/depth_fusion91,1,1,0,0,64,0,2,0,1,2,1,2,0,1,1,84,42,69,66,1.73334e-05,54.8824,22555,914944,284,82,136.91,P,N,Y
../benchmarks/depth_fusion92,1,1,0,0,64,0,2,0,1,2,2,1,0,0,1,86,44,75,66,1.90189e-05,57.8765,22691,954926,292,82,132.87,P,N,Y
../benchmarks/depth_fusion93,1,1,0,0,64,0,2,0,1,2,2,1,0,1,1,85,43,71,66,1.70063e-05,58.2529,22696,917664,284,82,133.01,P,N,Y
../benchmarks/depth_fusion94,1,1,0,0,64,0,2,0,1,2,2,2,0,0,1,86,44,75,66,1.86693e-05,48.5855,22780,955918,294,82,133.1,P,N,Y
../benchmarks/depth_fusion95,1,1,0,0,64,0,2,0,1,2,2,2,0,1,1,85,43,71,66,1.66793e-05,49.5342,22748,918656,286,82,132.2,P,N,Y
../benchmarks/depth_fusion96,1,1,0,0,64,0,2,0,2,1,1,1,0,0,1,76,39,72,59,4.11631e-05,59.4452,20193,917817,278,74,137.11,P,N,Y
../benchmarks/depth_fusion97,1,1,0,0,64,0,2,0,2,1,1,1,0,1,1,74,37,68,59,3.67616e-05,59.6351,19920,878879,267,74,136.87,P,N,Y
../benchmarks/depth_fusion98,1,1,0,0,64,0,2,0,2,1,1,2,0,0,1,74,38,69,59,4.13902e-05,48.3456,19849,820905,258,74,136.79,P,N,Y
../benchmarks/depth_fusion99,1,1,0,0,64,0,2,0,2,1,1,2,0,1,1,73,37,66,59,3.69657e-05,50.3552,19731,790340,251,74,131.01,P,N,Y
../benchmarks/depth_fusion100,1,1,0,0,64,0,2,0,2,1,2,1,0,0,1,74,38,67,59,4.13902e-05,52.15,19961,820878,257,74,130.47,P,N,Y
../benchmarks/depth_fusion101,1,1,0,0,64,0,2,0,2,1,2,1,0,1,1,73,37,65,59,3.98092e-05,50.3298,19843,790377,249,74,136.79,P,N,Y
../benchmarks/depth_fusion102,1,1,0,0,64,0,2,0,2,1,2,2,0,0,1,74,38,69,59,4.43466e-05,39.9639,19900,820777,258,74,132.99,P,N,Y
../benchmarks/depth_fusion103,1,1,0,0,64,0,2,0,2,1,2,2,0,1,1,73,37,66,59,3.98092e-05,40.1566,19755,790212,250,74,133.03,P,N,Y
../benchmarks/depth_fusion112,1,1,0,0,64,0,2,1,1,1,1,1,0,0,1,61,33,57,33,0.000176413,3804.11,21150,1125505,225,41,123.9,P,N,Y
../benchmarks/depth_fusion113,1,1,0,0,64,0,2,1,1,1,1,1,0,1,1,53,27,39,33,0.000152892,63.4299,12947,670523,160,41,129.81,P,N,Y
../benchmarks/depth_fusion114,1,1,0,0,64,0,2,1,1,1,1,2,0,0,1,61,32,51,33,0.000177456,4185.96,21033,868937,192,41,112.35,P,N,Y
../benchmarks/depth_fusion115,1,1,0,0,64,0,2,1,1,1,1,2,0,1,1,52,26,39,33,0.000153795,52.084,12934,615844,156,41,129.18,P,N,Y
../benchmarks/depth_fusion116,1,1,0,0,64,0,2,1,1,1,2,1,0,0,1,62,33,50,33,0.000165626,4230.39,21275,871193,191,41,111.2,P,N,Y
../benchmarks/depth_fusion117,1,1,0,0,64,0,2,1,1,1,2,1,0,1,1,53,27,39,33,0.000136543,58.0051,13063,633938,153,41,127.79,P,N,Y
../benchmarks/depth_fusion118,1,1,0,0,64,0,2,1,1,1,2,2,0,0,1,61,32,51,33,0.000165561,3869.49,21160,868425,194,41,121.16,P,N,Y
../benchmarks/depth_fusion119,1,1,0,0,64,0,2,1,1,1,2,2,0,1,1,52,26,40,33,0.000136489,43.2295,12956,631301,156,41,137.34,P,N,Y
../benchmarks/depth_fusion120,1,1,0,0,64,0,2,1,1,2,1,1,0,0,1,90,49,68,66,4.84345e-05,999,35943,1030962,-1,82,-1,F,Y,N
../benchmarks/depth_fusion121,1,1,0,0,64,0,2,1,1,2,1,1,0,1,1,74,36,55,66,4.12134e-05,68.5725,20636,876306,238,82,124.26,P,N,Y
../benchmarks/depth_fusion123,1,1,0,0,64,0,2,1,1,2,1,2,0,1,1,74,36,55,66,3.03376e-05,57.1016,20677,877170,240,82,128.15,P,N,Y
../benchmarks/depth_fusion125,1,1,0,0,64,0,2,1,1,2,2,1,0,1,1,76,37,57,66,2.97652e-05,61.0105,20873,879890,240,82,123.07,P,N,Y
../benchmarks/depth_fusion127,1,1,0,0,64,0,2,1,1,2,2,2,0,1,1,76,37,57,66,2.33543e-05,50.8812,20848,880882,242,82,123.96,P,N,Y
../benchmarks/depth_fusion128,1,1,0,0,64,0,2,1,2,1,1,1,0,0,1,87,48,78,66,0.000164653,999,37354,1564557,-1,82,-1,F,Y,N
../benchmarks/depth_fusion129,1,1,0,0,64,0,2,1,2,1,1,1,0,1,1,66,33,48,66,0.000147047,75.1925,19035,786482,216,82,102.07,P,N,Y
../benchmarks/depth_fusion130,1,1,0,0,64,0,2,1,2,1,1,2,0,0,1,87,47,72,66,0.000165561,999,37240,1303128,-1,82,-1,F,Y,N
../benchmarks/depth_fusion131,1,1,0,0,64,0,2,1,2,1,1,2,0,1,1,66,32,48,66,0.000147863,56.0028,18988,735182,211,82,112.05,P,N,Y
../benchmarks/depth_fusion132,1,1,0,0,64,0,2,1,2,1,2,1,0,0,1,87,48,71,66,0.000165561,999,37303,1304040,-1,82,-1,F,Y,N
../benchmarks/depth_fusion133,1,1,0,0,64,0,2,1,2,1,2,1,0,1,1,66,33,47,66,0.000159237,63.7793,19115,735007,210,82,100.63,P,N,Y
../benchmarks/depth_fusion134,1,1,0,0,64,0,2,1,2,1,2,2,0,0,1,87,48,72,66,0.000177387,999,37224,1303000,-1,82,-1,F,Y,N
../benchmarks/depth_fusion135,1,1,0,0,64,0,2,1,2,1,2,2,0,1,1,66,32,48,66,0.000159237,46.8535,19055,735054,211,82,105.66,P,N,Y
../benchmarks/depth_fusion144,1,1,0,0,64,1,0,0,1,1,1,1,0,0,1,55,28,56,31,4.76837e-05,7998.57,15249,1148237,241,39,133.45,P,N,Y
../benchmarks/depth_fusion145,1,1,0,0,64,1,0,0,1,1,1,1,0,1,1,57,29,63,31,4.76837e-05,7949.55,15345,1172186,246,39,133.19,P,N,Y
../benchmarks/depth_fusion146,1,1,0,0,64,1,0,0,1,1,1,1,1,0,1,56,29,93,31,3.28915e-05,2088.67,22217,2728002,397,39,131.06,P,N,Y
../benchmarks/depth_fusion148,1,1,0,0,64,1,0,0,1,2,1,1,0,0,1,86,45,91,63,4.76837e-05,999,41688,1898700,-1,78,-1,F,Y,N
../benchmarks/depth_fusion152,1,1,0,0,64,1,0,0,2,1,1,1,0,0,1,68,35,69,55,4.76837e-05,4212.41,20230,1428096,307,70,132.94,P,N,Y
../benchmarks/depth_fusion153,1,1,0,0,64,1,0,0,2,1,1,1,0,1,1,70,36,76,55,4.14848e-05,4075.74,20078,1376265,305,70,136.87,P,N,Y
../benchmarks/depth_fusion154,1,1,0,0,64,1,0,0,2,1,1,1,1,0,1,71,37,99,55,2.69304e-05,999,32226,2767394,-1,70,-1,F,Y,N
../benchmarks/depth_fusion160,1,1,0,0,64,1,0,1,1,1,1,1,0,0,1,53,28,37,31,0.000190735,3674.42,19316,630480,157,39,125.61,P,N,Y
../benchmarks/depth_fusion161,1,1,0,0,64,1,0,1,1,1,1,1,0,1,1,51,26,52,31,0.000190735,7545.06,13789,1024052,198,39,133.45,P,N,Y
